team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         28   54 19905 2829 6529  419 1248 1534 1976  997 3503 1648  627 1278  408 1826  7611  34   2   3
BostonCeltics        36   46 19705 2843 6415  553 1599 1572 2095  851 3291 1683  770 1289  331 1837  7811  24   0   3
NOrleansHornets      41   41 19830 2772 6605  531 1666 1454 1937 1091 3509 1716  708 1155  346 1716  7529  42   2   1
ChicagoBulls         23   59 19830 2798 6753  429 1256 1330 1834 1048 3567 1793  659 1249  394 1911  7355  32   2   2
ClevelandCavaliers   35   47 19855 2922 6753  247  786 1528 2030 1118 3737 1808  585 1166  537 1742  7619  19   1   5
DallasMavericks      52   30 19805 3322 7230  507 1456 1475 1854 1174 3712 1963  656  965  437 1609  8626  40   4   7
DenverNuggets        43   39 19730 2993 6763  331  985 1655 2159 1083 3470 1794  745 1201  520 1804  7972  28   0   6
DetroitPistons       54   28 19780 2747 6315  333  969 1561 2074 1014 3506 1702  659 1179  570 1664  7388  45   4   2
GSWarriors           37   45 19855 2875 6511  429 1283 1470 2028 1002 3535 1681  576 1154  389 1691  7649  23   3   1
HoustonRockets       45   37 19930 2738 6195  515 1406 1371 1774  847 3494 1579  560 1295  443 1762  7362  40   1   4
IndianaPacers        61   21 19805 2753 6322  449 1281 1538 2014  965 3417 1774  726 1108  411 1709  7493  40   3   3
LAClippers           28   54 19805 2817 6579  329 1024 1808 2302 1149 3565 1653  594 1281  376 1816  7771  40   4   5
LALakers             56   26 19855 3028 6676  365 1115 1631 2352 1001 3536 1948  682 1096  379 1732  8052  56   5   5
MiamiHeat            42   40 19755 2729 6417  485 1357 1459 1915  940 3399 1565  590 1076  313 1812  7402  35   2   5
MilwaukeeBucks       41   41 19780 2970 6650  401 1145 1698 2192  960 3462 1872  554 1066  383 1667  8039  16   1   2
MinnesotaT-wolves    58   24 19755 3033 6571  326  897 1361 1743  875 3520 1890  561 1004  462 1731  7753  47   2   3
NJNets               47   35 19705 2813 6372  377 1123 1398 1856  862 3335 2009  709 1157  322 1722  7401  36   2   4
NYKnicks             39   43 19880 2881 6513  406 1115 1374 1732  950 3493 1695  608 1253  391 1897  7542  26   2   4
OrlandoMagic         21   61 19830 2904 6768  429 1248 1474 2000 1003 3353 1584  547 1063  308 1744  7711  25   1   2
Philadelphia76ers    33   49 19855 2682 6260  339  992 1512 2009  941 3349 1640  654 1207  358 1701  7215  22   0   3
PhoenixSuns          29   53 19730 2958 6671  415 1202 1392 1865  924 3330 1586  734 1203  383 1862  7723  25   0   4
PortlandTrailBlazers 41   41 19980 2898 6467  381 1102 1263 1728 1040 3416 1768  613 1134  444 1554  7440  41   1   2
SacramentoKings      55   27 19780 3103 6711  601 1498 1626 2044  888 3380 2152  710 1107  325 1586  8433  44   4   5
SanAntonioSpurs      57   25 19755 2842 6434  408 1140 1409 2069 1028 3697 1676  661 1155  537 1667  7501  19   0   3
SeattleSupersonics   37   45 19804 2939 6590  723 1936 1363 1782  907 3225 1782  661 1128  387 1783  7964  24   0   3
TorontoRaptors       33   49 19980 2654 6348  461 1294 1237 1650  830 3249 1574  604 1090  401 1748  7006  27   2   1
UtahJazz             42   40 19780 2690 6171  252  786 1639 2197 1103 3375 1671  583 1255  494 2095  7271  31   4   8
MemphisGrizzlies     50   32 19880 2963 6657  447 1314 1557 2143 1047 3428 1915  795 1180  565 1903  7930  49   5   2
WashingtonWizards    25   57 19830 2758 6556  433 1269 1579 2211 1115 3507 1537  733 1371  406 1712  7528  26   2   2
